Date,DayOfWeek,StoreID,StoreLocation,ProductCategory,UnitsSold,TotalSales_INR,Profit_INR
7/1/2023,Saturday,1,Bandra,Smartphones,8,640000,96000
7/1/2023,Saturday,1,Bandra,Accessories,25,50000,20000
7/1/2023,Saturday,1,Bandra,Audio,15,225000,67500
7/2/2023,Sunday,2,Andheri,Laptops,10,800000,80000
7/2/2023,Sunday,2,Andheri,Smartphones,12,960000,144000
7/3/2023,Monday,3,Colaba,Laptops,12,960000,96000
7/3/2023,Monday,3,Colaba,Accessories,30,60000,24000
7/4/2023,Tuesday,1,Bandra,Audio,20,300000,90000
7/5/2023,Wednesday,2,Andheri,Smartphones,15,1200000,180000
7/5/2023,Wednesday,2,Andheri,Accessories,40,80000,32000
7/6/2023,Thursday,3,Colaba,Audio,5,75000,22500
7/7/2023,Friday,1,Bandra,Smartphones,7,560000,84000
7/8/2023,Saturday,2,Andheri,Laptops,8,640000,64000
7/8/2023,Saturday,2,Andheri,Audio,10,150000,45000
7/9/2023,Sunday,3,Colaba,Accessories,22,44000,17600
7/10/2023,Monday,1,Bandra,Laptops,5,400000,40000
7/11/2023,Tuesday,2,Andheri,Smartphones,18,1440000,216000
7/12/2023,Wednesday,3,Colaba,Laptops,15,1200000,120000
7/13/2023,Thursday,1,Bandra,Accessories,35,70000,28000
7/14/2023,Friday,1,Bandra,Audio,25,375000,112500
7/15/2023,Saturday,2,Andheri,Audio,12,180000,54000
7/16/2023,Sunday,3,Colaba,Smartphones,9,720000,108000
7/17/2023,Monday,1,Bandra,Smartphones,10,800000,120000
7/18/2023,Tuesday,2,Andheri,Laptops,11,880000,88000
7/19/2023,Wednesday,3,Colaba,Accessories,28,56000,22400
7/20/2023,Thursday,1,Bandra,Laptops,4,320000,32000
7/21/2023,Friday,1,Bandra,Audio,18,270000,81000
7/22/2023,Saturday,2,Andheri,Smartphones,20,1600000,240000
7/23/2023,Sunday,3,Colaba,Audio,7,105000,31500
7/24/2023,Monday,1,Bandra,Accessories,30,60000,24000
7/25/2023,Tuesday,2,Andheri,Accessories,50,100000,40000
7/26/2023,Wednesday,3,Colaba,Laptops,14,1120000,112000
7/27/2023,Thursday,1,Bandra,Smartphones,9,720000,108000
7/28/2023,Friday,2,Andheri,Audio,15,225000,67500
7/29/2023,Saturday,3,Colaba,Smartphones,11,880000,132000
7/30/2023,Sunday,1,Bandra,Audio,22,330000,99000
8/1/2023,Tuesday,2,Andheri,Smartphones,22,1760000,264000
8/2/2023,Wednesday,3,Colaba,Accessories,35,70000,28000
8/3/2023,Thursday,1,Bandra,Laptops,6,480000,48000
8/4/2023,Friday,2,Andheri,Laptops,12,960000,96000
8/5/2023,Saturday,3,Colaba,Audio,8,120000,36000
8/6/2023,Sunday,1,Bandra,Accessories,40,80000,32000
8/7/2023,Monday,1,Bandra,Audio,28,420000,126000
8/8/2023,Tuesday,2,Andheri,Smartphones,14,1120000,168000
8/9/2023,Wednesday,3,Colaba,Laptops,18,1440000,144000
8/10/2023,Thursday,1,Bandra,Smartphones,11,880000,132000
8/11/2023,Friday,2,Andheri,Accessories,45,90000,36000
8/12/2023,Saturday,3,Colaba,Smartphones,13,1040000,156000
8/13/2023,Sunday,1,Bandra,Audio,30,450000,135000
8/14/2023,Monday,2,Andheri,Audio,18,270000,81000
8/15/2023,Tuesday,3,Colaba,Accessories,40,80000,32000
8/16/2023,Wednesday,1,Bandra,Laptops,7,560000,56000
8/17/2023,Thursday,2,Andheri,Laptops,14,1120000,112000
8/18/2023,Friday,3,Colaba,Laptops,16,1280000,128000
8/19/2023,Saturday,1,Bandra,Accessories,50,100000,40000
8/20/2023,Sunday,1,Bandra,Smartphones,12,960000,144000
8/21/2023,Monday,2,Andheri,Smartphones,25,2000000,300000
8/22/2023,Tuesday,3,Colaba,Audio,10,150000,45000
8/23/2023,Wednesday,1,Bandra,Audio,32,480000,144000
8/24/2023,Thursday,2,Andheri,Accessories,60,120000,48000
8/25/2023,Friday,3,Colaba,Smartphones,15,1200000,180000
8/26/2023,Saturday,1,Bandra,Accessories,45,90000,36000
8/27/2023,Sunday,2,Andheri,Audio,20,300000,90000
8/28/2023,Monday,3,Colaba,Laptops,20,1600000,160000
8/29/2023,Tuesday,1,Bandra,Smartphones,14,1120000,168000
8/30/2023,Wednesday,2,Andheri,Smartphones,28,2240000,336000
9/1/2023,Friday,3,Colaba,Accessories,50,100000,40000
9/2/2023,Saturday,1,Bandra,Laptops,8,640000,64000
9/3/2023,Sunday,2,Andheri,Laptops,15,1200000,120000
9/4/2023,Monday,3,Colaba,Audio,12,180000,54000
9/5/2023,Tuesday,1,Bandra,Audio,35,525000,157500
9/6/2023,Wednesday,2,Andheri,Smartphones,16,1280000,192000
9/7/2023,Thursday,3,Colaba,Laptops,22,1760000,176000
9/8/2023,Friday,1,Bandra,Accessories,55,110000,44000
9/9/2023,Saturday,2,Andheri,Accessories,70,140000,56000
9/10/2023,Sunday,3,Colaba,Smartphones,18,1440000,216000
9/11/2023,Monday,1,Bandra,Smartphones,16,1280000,192000
9/12/2023,Tuesday,2,Andheri,Audio,22,330000,99000
9/13/2023,Wednesday,3,Colaba,Laptops,18,1440000,144000
9/14/2023,Thursday,1,Bandra,Audio,40,600000,180000
9/15/2023,Friday,2,Andheri,Smartphones,30,2400000,360000
9/16/2023,Saturday,3,Colaba,Accessories,60,120000,48000
9/17/2023,Sunday,1,Bandra,Laptops,10,800000,80000
9/18/2023,Monday,2,Andheri,Smartphones,19,1520000,228000
9/19/2023,Tuesday,3,Colaba,Laptops,25,2000000,200000
9/20/2023,Wednesday,1,Bandra,Accessories,65,130000,52000
9/21/2023,Thursday,2,Andheri,Laptops,18,1440000,144000
9/22/2023,Friday,3,Colaba,Smartphones,20,1600000,240000
9/23/2023,Saturday,1,Bandra,Audio,45,675000,202500
9/24/2023,Sunday,2,Andheri,Audio,25,375000,112500
9/25/2023,Monday,3,Colaba,Accessories,55,110000,44000
9/26/2023,Tuesday,1,Bandra,Smartphones,18,1440000,216000
9/27/2023,Wednesday,2,Andheri,Accessories,80,160000,64000
9/28/2023,Thursday,3,Colaba,Laptops,28,2240000,224000
9/29/2023,Friday,1,Bandra,Laptops,12,960000,96000
9/30/2023,Saturday,2,Andheri,Smartphones,35,2800000,420000
